item_id,title,author_last,author_first,gr_id,cover_img_url
11246,may i bring a friend ,de regniers, beatrice schenk,11527309,https://images.gr-assets.com/books/1345645748m/11527309.jpg
11247,i have to go,ross, anna ,240129,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11248,harry takes a bath ,ziefert, harriet ,848709,https://images.gr-assets.com/books/1320537978m/848709.jpg
11249,the woman who outshone the sun the legend of lucia zenteno la mujer que brillaba aun mas que el sol la leyenda de lucia zenteno,cruz martinez, alejandro,6138931,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11250, mu vete get moving ,schuh, mari c ,25865566,https://images.gr-assets.com/books/1436271096m/25865566.jpg
11251,tikki tikki tembo espa ol ,mosel, arlene ,551876,https://images.gr-assets.com/books/1317064300m/551876.jpg
11252,si llevas un rat n al cine,numeroff, laura joffe ,6963580,https://images.gr-assets.com/books/1320404404m/6963580.jpg
11253,eric and the enchanted leaf a night with echo,frontiera, deborah k ,8409380,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11254,gobble gobble,falwell, cathryn ,17465834,https://images.gr-assets.com/books/1367340386m/17465834.jpg
11255,danilo the fruit man,valens, amy ,745599,https://images.gr-assets.com/books/1410978721m/745599.jpg
11256,much bigger than martin,kellogg, steven ,879201,https://images.gr-assets.com/books/1328834493m/879201.jpg
11257,mary mclean and the st patricks day parade,kroll, steven ,196974,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11258,a rose for pinkerton,kellogg, steven,1662201,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11259,paul bunyan a tall tale,kellogg, steven ,902357,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11260,a first passover,swartz, leslie ,2124317,https://images.gr-assets.com/books/1328855100m/2124317.jpg
11261,the itsy bitsy dreidel,burton, jeffrey,1020446,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11262,uncle lesters hat ,schneider, howie,14431301,https://images.gr-assets.com/books/1363130592m/14431301.jpg
11263,a very special snowflake,hoffman, don ,7886124,https://images.gr-assets.com/books/1328764349m/7886124.jpg
11264,learn spanish ,irving, nicole ,13638535,https://images.gr-assets.com/books/1336434880m/13638535.jpg
11265,one of us has alzheimers ,mallory, pat,18775231,https://images.gr-assets.com/books/1411350134m/18775231.jpg
11266,doing things a guide to programing activities for persons with alzheimers disease and related disorders ,zgola, jitka m ,840643,https://images.gr-assets.com/books/1417987843m/840643.jpg
11267,a dignified life the best friends approach to alzheimers care a guide for family caregivers,bell, virginia ,18517569,https://images.gr-assets.com/books/1379529691m/18517569.jpg
11268,the alzheimers prevention program keep your brain healthy for the rest of your life,small, gary,106830,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
